Timestamp,CPU %,Available Memory (MB),Disk Read (MB/sec),Disk Write (MB/sec),Network Received (MB/sec),Network Sent (MB/sec)
2024-03-07 11:54:58,0.0,16612.23,83587.98,101226.91,13077.99,528.43
2024-03-07 11:55:03,1.0,16628.36,83588.0,101227.81,13078.36,528.45
2024-03-07 11:55:08,0.9,16637.15,83588.28,101231.61,13078.74,528.48
2024-03-07 11:55:13,0.9,16631.6,83588.48,101232.36,13079.3,528.53
2024-03-07 11:55:18,0.8,16645.92,83588.53,101233.49,13079.91,528.56
2024-03-07 11:55:23,0.9,16652.57,83588.53,101234.22,13080.5,528.58
2024-03-07 11:55:28,0.7,16595.88,83588.65,101235.02,13080.99,528.63
2024-03-07 11:55:33,0.8,16587.44,83588.68,101235.93,13081.43,528.64
2024-03-07 11:55:38,0.6,16587.66,83588.78,101237.52,13081.77,528.67
2024-03-07 11:55:43,0.1,16586.42,83588.91,101238.18,13082.12,528.7
2024-03-07 11:55:48,0.2,16600.34,83588.94,101238.34,13082.59,528.72
2024-03-07 11:55:53,0.3,16618.54,83589.02,101239.58,13082.99,528.75
2024-03-07 11:55:58,0.8,16617.62,83589.09,101240.87,13083.53,528.79
2024-03-07 11:56:03,1.1,16624.39,83589.1,101241.79,13083.98,528.82
2024-03-07 11:56:08,1.1,16637.33,83589.13,101243.06,13084.36,528.88
